id,name,province_id:id,zip,phone_prefix,istat_code,cadaster_code,web_site
l10n_it_base.2,Agliè,l10n_it_base.TO,10011,124,1001,A074,http://www.comuni-italiani.it/001/001/
l10n_it_base.3,Airasca,l10n_it_base.TO,10060,11,1002,A109,http://www.comuni-italiani.it/001/002/
l10n_it_base.4,Ala di Stura,l10n_it_base.TO,10070,123,1003,A117,http://www.comuni-italiani.it/001/003/
l10n_it_base.5,Albiano d'Ivrea,l10n_it_base.TO,10010,125,1004,A157,http://www.comuni-italiani.it/001/004/
l10n_it_base.6,Alice Superiore,l10n_it_base.TO,10010,125,1005,A199,http://www.comuni-italiani.it/001/005/
l10n_it_base.7,Almese,l10n_it_base.TO,10040,11,1006,A218,http://www.comuni-italiani.it/001/006/
l10n_it_base.8,Alpette,l10n_it_base.TO,10080,124,1007,A221,http://www.comuni-italiani.it/001/007/
l10n_it_base.9,Alpignano,l10n_it_base.TO,10091,11,1008,A222,http://www.comuni-italiani.it/001/008/
l10n_it_base.10,Andezeno,l10n_it_base.TO,10020,11,1009,A275,http://www.comuni-italiani.it/001/009/
l10n_it_base.11,Andrate,l10n_it_base.TO,10010,125,1010,A282,http://www.comuni-italiani.it/001/010/
l10n_it_base.12,Angrogna,l10n_it_base.TO,10060,121,1011,A295,http://www.comuni-italiani.it/001/011/
l10n_it_base.13,Arignano,l10n_it_base.TO,10020,11,1012,A405,http://www.comuni-italiani.it/001/012/
l10n_it_base.14,Avigliana,l10n_it_base.TO,10051,11,1013,A518,http://www.comuni-italiani.it/001/013/
l10n_it_base.15,Azeglio,l10n_it_base.TO,10010,125,1014,A525,http://www.comuni-italiani.it/001/014/
l10n_it_base.16,Bairo,l10n_it_base.TO,10010,124,1015,A584,http://www.comuni-italiani.it/001/015/
l10n_it_base.17,Balangero,l10n_it_base.TO,10070,123,1016,A587,http://www.comuni-italiani.it/001/016/
l10n_it_base.18,Baldissero Canavese,l10n_it_base.TO,10080,124,1017,A590,http://www.comuni-italiani.it/001/017/
l10n_it_base.19,Baldissero Torinese,l10n_it_base.TO,10020,11,1018,A591,http://www.comuni-italiani.it/001/018/
l10n_it_base.20,Balme,l10n_it_base.TO,10070,123,1019,A599,http://www.comuni-italiani.it/001/019/
l10n_it_base.21,Banchette,l10n_it_base.TO,10010,125,1020,A607,http://www.comuni-italiani.it/001/020/
l10n_it_base.22,Barbania,l10n_it_base.TO,10070,11,1021,A625,http://www.comuni-italiani.it/001/021/
l10n_it_base.23,Bardonecchia,l10n_it_base.TO,10052,122,1022,A651,http://www.comuni-italiani.it/001/022/
l10n_it_base.24,Barone Canavese,l10n_it_base.TO,10010,11,1023,A673,http://www.comuni-italiani.it/001/023/
l10n_it_base.25,Beinasco,l10n_it_base.TO,10092,11,1024,A734,http://www.comuni-italiani.it/001/024/
l10n_it_base.26,Bibiana,l10n_it_base.TO,10060,121,1025,A853,http://www.comuni-italiani.it/001/025/
l10n_it_base.27,Bobbio Pellice,l10n_it_base.TO,10060,121,1026,A910,http://www.comuni-italiani.it/001/026/
l10n_it_base.28,Bollengo,l10n_it_base.TO,10012,125,1027,A941,http://www.comuni-italiani.it/001/027/
l10n_it_base.29,Borgaro Torinese,l10n_it_base.TO,10071,11,1028,A990,http://www.comuni-italiani.it/001/028/
l10n_it_base.30,Borgiallo,l10n_it_base.TO,10080,124,1029,B003,http://www.comuni-italiani.it/001/029/
l10n_it_base.31,Borgofranco d'Ivrea,l10n_it_base.TO,10013,125,1030,B015,http://www.comuni-italiani.it/001/030/
l10n_it_base.32,Borgomasino,l10n_it_base.TO,10031,125,1031,B021,http://www.comuni-italiani.it/001/031/
l10n_it_base.33,Borgone Susa,l10n_it_base.TO,10050,11,1032,B024,http://www.comuni-italiani.it/001/032/
l10n_it_base.34,Bosconero,l10n_it_base.TO,10080,11,1033,B075,http://www.comuni-italiani.it/001/033/
l10n_it_base.35,Brandizzo,l10n_it_base.TO,10032,11,1034,B121,http://www.comuni-italiani.it/001/034/
l10n_it_base.36,Bricherasio,l10n_it_base.TO,10060,121,1035,B171,http://www.comuni-italiani.it/001/035/
l10n_it_base.37,Brosso,l10n_it_base.TO,10080,125,1036,B205,http://www.comuni-italiani.it/001/036/
l10n_it_base.38,Brozolo,l10n_it_base.TO,10020,11,1037,B209,http://www.comuni-italiani.it/001/037/
l10n_it_base.39,Bruino,l10n_it_base.TO,10090,11,1038,B216,http://www.comuni-italiani.it/001/038/
l10n_it_base.40,Brusasco,l10n_it_base.TO,10020,11,1039,B225,http://www.comuni-italiani.it/001/039/
l10n_it_base.41,Bruzolo,l10n_it_base.TO,10050,11,1040,B232,http://www.comuni-italiani.it/001/040/
l10n_it_base.42,Buriasco,l10n_it_base.TO,10060,121,1041,B278,http://www.comuni-italiani.it/001/041/
l10n_it_base.43,Burolo,l10n_it_base.TO,10010,125,1042,B279,http://www.comuni-italiani.it/001/042/
l10n_it_base.44,Busano,l10n_it_base.TO,10080,124,1043,B284,http://www.comuni-italiani.it/001/043/
l10n_it_base.45,Bussoleno,l10n_it_base.TO,10053,122,1044,B297,http://www.comuni-italiani.it/001/044/
l10n_it_base.46,Buttigliera Alta,l10n_it_base.TO,10090,11,1045,B305,http://www.comuni-italiani.it/001/045/
l10n_it_base.47,Cafasse,l10n_it_base.TO,10070,123,1046,B350,http://www.comuni-italiani.it/001/046/
l10n_it_base.48,Caluso,l10n_it_base.TO,10014,11,1047,B435,http://www.comuni-italiani.it/001/047/
l10n_it_base.49,Cambiano,l10n_it_base.TO,10020,11,1048,B462,http://www.comuni-italiani.it/001/048/
l10n_it_base.50,Campiglione-Fenile,l10n_it_base.TO,10060,121,1049,B512,http://www.comuni-italiani.it/001/049/
l10n_it_base.51,Candia Canavese,l10n_it_base.TO,10010,11,1050,B588,http://www.comuni-italiani.it/001/050/
l10n_it_base.52,Candiolo,l10n_it_base.TO,10060,11,1051,B592,http://www.comuni-italiani.it/001/051/
l10n_it_base.53,Canischio,l10n_it_base.TO,10080,124,1052,B605,http://www.comuni-italiani.it/001/052/
l10n_it_base.54,Cantalupa,l10n_it_base.TO,10060,121,1053,B628,http://www.comuni-italiani.it/001/053/
l10n_it_base.55,Cantoira,l10n_it_base.TO,10070,123,1054,B637,http://www.comuni-italiani.it/001/054/
l10n_it_base.56,Caprie,l10n_it_base.TO,10040,11,1055,B705,http://www.comuni-italiani.it/001/055/
l10n_it_base.57,Caravino,l10n_it_base.TO,10010,125,1056,B733,http://www.comuni-italiani.it/001/056/
l10n_it_base.58,Carema,l10n_it_base.TO,10010,125,1057,B762,http://www.comuni-italiani.it/001/057/
l10n_it_base.59,Carignano,l10n_it_base.TO,10041,11,1058,B777,http://www.comuni-italiani.it/001/058/
l10n_it_base.60,Carmagnola,l10n_it_base.TO,10022,11,1059,B791,http://www.comuni-italiani.it/001/059/
l10n_it_base.61,Casalborgone,l10n_it_base.TO,10020,11,1060,B867,http://www.comuni-italiani.it/001/060/
l10n_it_base.62,Cascinette d'Ivrea,l10n_it_base.TO,10010,125,1061,B953,http://www.comuni-italiani.it/001/061/
l10n_it_base.63,Caselette,l10n_it_base.TO,10040,11,1062,B955,http://www.comuni-italiani.it/001/062/
l10n_it_base.64,Caselle Torinese,l10n_it_base.TO,10072,11,1063,B960,http://www.comuni-italiani.it/001/063/
l10n_it_base.65,Castagneto Po,l10n_it_base.TO,10090,11,1064,C045,http://www.comuni-italiani.it/001/064/
l10n_it_base.66,Castagnole Piemonte,l10n_it_base.TO,10060,11,1065,C048,http://www.comuni-italiani.it/001/065/
l10n_it_base.67,Castellamonte,l10n_it_base.TO,10081,124,1066,C133,http://www.comuni-italiani.it/001/066/
l10n_it_base.68,Castelnuovo Nigra,l10n_it_base.TO,10080,124,1067,C241,http://www.comuni-italiani.it/001/067/
l10n_it_base.69,Castiglione Torinese,l10n_it_base.TO,10090,11,1068,C307,http://www.comuni-italiani.it/001/068/
l10n_it_base.70,Cavagnolo,l10n_it_base.TO,10020,11,1069,C369,http://www.comuni-italiani.it/001/069/
l10n_it_base.71,Cavour,l10n_it_base.TO,10061,121,1070,C404,http://www.comuni-italiani.it/001/070/
l10n_it_base.72,Cercenasco,l10n_it_base.TO,10060,11,1071,C487,http://www.comuni-italiani.it/001/071/
l10n_it_base.73,Ceres,l10n_it_base.TO,10070,123,1072,C497,http://www.comuni-italiani.it/001/072/
l10n_it_base.74,Ceresole Reale,l10n_it_base.TO,10080,124,1073,C505,http://www.comuni-italiani.it/001/073/
l10n_it_base.75,Cesana Torinese,l10n_it_base.TO,10054,122,1074,C564,http://www.comuni-italiani.it/001/074/
l10n_it_base.76,Chialamberto,l10n_it_base.TO,10070,123,1075,C604,http://www.comuni-italiani.it/001/075/
l10n_it_base.77,Chianocco,l10n_it_base.TO,10050,122,1076,C610,http://www.comuni-italiani.it/001/076/
l10n_it_base.78,Chiaverano,l10n_it_base.TO,10010,125,1077,C624,http://www.comuni-italiani.it/001/077/
l10n_it_base.79,Chieri,l10n_it_base.TO,10023,11,1078,C627,http://www.comuni-italiani.it/001/078/
l10n_it_base.80,Chiesanuova,l10n_it_base.TO,10080,124,1079,C629,http://www.comuni-italiani.it/001/079/
l10n_it_base.81,Chiomonte,l10n_it_base.TO,10050,122,1080,C639,http://www.comuni-italiani.it/001/080/
l10n_it_base.82,Chiusa di San Michele,l10n_it_base.TO,10050,11,1081,C655,http://www.comuni-italiani.it/001/081/
l10n_it_base.83,Chivasso,l10n_it_base.TO,10034,11,1082,C665,http://www.comuni-italiani.it/001/082/
l10n_it_base.84,Ciconio,l10n_it_base.TO,10080,124,1083,C679,http://www.comuni-italiani.it/001/083/
l10n_it_base.85,Cintano,l10n_it_base.TO,10080,124,1084,C711,http://www.comuni-italiani.it/001/084/
l10n_it_base.86,Cinzano,l10n_it_base.TO,10090,11,1085,C715,http://www.comuni-italiani.it/001/085/
l10n_it_base.87,Ciriè,l10n_it_base.TO,10073,11,1086,C722,http://www.comuni-italiani.it/001/086/
l10n_it_base.88,Claviere,l10n_it_base.TO,10050,122,1087,C793,http://www.comuni-italiani.it/001/087/
l10n_it_base.89,Coassolo Torinese,l10n_it_base.TO,10070,123,1088,C801,http://www.comuni-italiani.it/001/088/
l10n_it_base.90,Coazze,l10n_it_base.TO,10050,11,1089,C803,http://www.comuni-italiani.it/001/089/
l10n_it_base.91,Collegno,l10n_it_base.TO,10093,11,1090,C860,http://www.comuni-italiani.it/001/090/
l10n_it_base.92,Colleretto Castelnuovo,l10n_it_base.TO,10080,124,1091,C867,http://www.comuni-italiani.it/001/091/
l10n_it_base.93,Colleretto Giacosa,l10n_it_base.TO,10010,125,1092,C868,http://www.comuni-italiani.it/001/092/
l10n_it_base.94,Condove,l10n_it_base.TO,10055,11,1093,C955,http://www.comuni-italiani.it/001/093/
l10n_it_base.95,Corio,l10n_it_base.TO,10070,11,1094,D008,http://www.comuni-italiani.it/001/094/
l10n_it_base.96,Cossano Canavese,l10n_it_base.TO,10010,125,1095,D092,http://www.comuni-italiani.it/001/095/
l10n_it_base.97,Cuceglio,l10n_it_base.TO,10090,124,1096,D197,http://www.comuni-italiani.it/001/096/
