"name","id","country_id:id"
"Piemonte","l10n_it_base.pie","base.it"
"Valle d'Aosta","l10n_it_base.vda","base.it"
"Lombardia","l10n_it_base.lom","base.it"
"Trentino-Alto Adige","l10n_it_base.taa","base.it"
"Veneto","l10n_it_base.ven","base.it"
"Friuli-Venezia Giulia","l10n_it_base.fvg","base.it"
"Liguria","l10n_it_base.lig","base.it"
"Emilia-Romagna","l10n_it_base.emr","base.it"
"Toscana","l10n_it_base.tos","base.it"
"Umbria","l10n_it_base.umb","base.it"
"Marche","l10n_it_base.mar","base.it"
"Lazio","l10n_it_base.laz","base.it"
"Abruzzo","l10n_it_base.abr","base.it"
"Molise","l10n_it_base.mol","base.it"
"Campania","l10n_it_base.cam","base.it"
"Puglia","l10n_it_base.pug","base.it"
"Basilicata","l10n_it_base.bas","base.it"
"Calabria","l10n_it_base.cal","base.it"
"Sicilia","l10n_it_base.sic","base.it"
"Sardegna","l10n_it_base.sar","base.it"
