id,region:id,code,name
l10n_base.no_2002,l10n_base.no_nor,2002,VARDØ
l10n_base.no_2003,l10n_base.no_nor,2003,VADSØ
l10n_base.no_2004,l10n_base.no_nor,2004,HAMMERFEST
l10n_base.no_2011,l10n_base.no_nor,2011,GUOVDAGEAIDNU KAUTOKEINO
l10n_base.no_2012,l10n_base.no_nor,2012,ALTA
l10n_base.no_2014,l10n_base.no_nor,2014,LOPPA
l10n_base.no_2015,l10n_base.no_nor,2015,HASVIK
l10n_base.no_2017,l10n_base.no_nor,2017,KVALSUND
l10n_base.no_2018,l10n_base.no_nor,2018,MÅSØY
l10n_base.no_2019,l10n_base.no_nor,2019,NORDKAPP
l10n_base.no_2020,l10n_base.no_nor,2020,PORSANGER PORSÁNGU PORSANKI
l10n_base.no_2021,l10n_base.no_nor,2021,KARASJOHKA KARASJOK
l10n_base.no_2022,l10n_base.no_nor,2022,LEBESBY
l10n_base.no_2023,l10n_base.no_nor,2023,GAMVIK
l10n_base.no_2024,l10n_base.no_nor,2024,BERLEVÅG
l10n_base.no_2025,l10n_base.no_nor,2025,DEATNU TANA
l10n_base.no_2027,l10n_base.no_nor,2027,UNJARGGA NESSEBY
l10n_base.no_2028,l10n_base.no_nor,2028,BÅTSFJORD
l10n_base.no_2030,l10n_base.no_nor,2030,SØR-VARANGER
l10n_base.no_0101,l10n_base.no_nor,0101,HALDEN
l10n_base.no_0104,l10n_base.no_nor,0104,MOSS
l10n_base.no_0105,l10n_base.no_nor,0105,SARPSBORG
l10n_base.no_0106,l10n_base.no_nor,0106,FREDRIKSTAD
l10n_base.no_0111,l10n_base.no_nor,0111,HVALER
l10n_base.no_0118,l10n_base.no_nor,0118,AREMARK
l10n_base.no_0119,l10n_base.no_nor,0119,MARKER
l10n_base.no_0121,l10n_base.no_nor,0121,RØMSKOG
l10n_base.no_0122,l10n_base.no_nor,0122,TRØGSTAD
l10n_base.no_0123,l10n_base.no_nor,0123,SPYDEBERG
l10n_base.no_0124,l10n_base.no_nor,0124,ASKIM
l10n_base.no_0125,l10n_base.no_nor,0125,EIDSBERG
l10n_base.no_0127,l10n_base.no_nor,0127,SKIPTVET
l10n_base.no_0128,l10n_base.no_nor,0128,RAKKESTAD
l10n_base.no_0135,l10n_base.no_nor,0135,RÅDE
l10n_base.no_0136,l10n_base.no_nor,0136,RYGGE
l10n_base.no_0137,l10n_base.no_nor,0137,VÅLER
l10n_base.no_0138,l10n_base.no_nor,0138,HOBØL
l10n_base.no_0211,l10n_base.no_nor,0211,VESTBY
l10n_base.no_0213,l10n_base.no_nor,0213,SKI
l10n_base.no_0214,l10n_base.no_nor,0214,ÅS
l10n_base.no_0215,l10n_base.no_nor,0215,FROGN
l10n_base.no_0216,l10n_base.no_nor,0216,NESODDEN
l10n_base.no_0217,l10n_base.no_nor,0217,OPPEGÅRD
l10n_base.no_0219,l10n_base.no_nor,0219,BÆRUM
l10n_base.no_0220,l10n_base.no_nor,0220,ASKER
l10n_base.no_0221,l10n_base.no_nor,0221,AURSKOG-HØLAND
l10n_base.no_0226,l10n_base.no_nor,0226,SØRUM
l10n_base.no_0227,l10n_base.no_nor,0227,FET
l10n_base.no_0228,l10n_base.no_nor,0228,RÆLINGEN
l10n_base.no_0229,l10n_base.no_nor,0229,ENEBAKK
l10n_base.no_0230,l10n_base.no_nor,0230,LØRENSKOG
l10n_base.no_0231,l10n_base.no_nor,0231,SKEDSMO
l10n_base.no_0233,l10n_base.no_nor,0233,NITTEDAL
l10n_base.no_0234,l10n_base.no_nor,0234,GJERDRUM
l10n_base.no_0235,l10n_base.no_nor,0235,ULLENSAKER
l10n_base.no_0236,l10n_base.no_nor,0236,NES
l10n_base.no_0237,l10n_base.no_nor,0237,EIDSVOLL
l10n_base.no_0238,l10n_base.no_nor,0238,NANNESTAD
l10n_base.no_0239,l10n_base.no_nor,0239,HURDAL
l10n_base.no_0301,l10n_base.no_nor,0301,OSLO
l10n_base.no_0402,l10n_base.no_nor,0402,KONGSVINGER
l10n_base.no_0403,l10n_base.no_nor,0403,HAMAR
l10n_base.no_0412,l10n_base.no_nor,0412,RINGSAKER
l10n_base.no_0415,l10n_base.no_nor,0415,LØTEN
l10n_base.no_0417,l10n_base.no_nor,0417,STANGE
l10n_base.no_0418,l10n_base.no_nor,0418,NORD-ODAL
l10n_base.no_0419,l10n_base.no_nor,0419,SØR-ODAL
l10n_base.no_0420,l10n_base.no_nor,0420,EIDSKOG
l10n_base.no_0423,l10n_base.no_nor,0423,GRUE
l10n_base.no_0425,l10n_base.no_nor,0425,ÅSNES
l10n_base.no_0426,l10n_base.no_nor,0426,VÅLER
l10n_base.no_0427,l10n_base.no_nor,0427,ELVERUM
l10n_base.no_0428,l10n_base.no_nor,0428,TRYSIL
l10n_base.no_0429,l10n_base.no_nor,0429,ÅMOT
l10n_base.no_0430,l10n_base.no_nor,0430,STOR-ELVDAL
l10n_base.no_0432,l10n_base.no_nor,0432,RENDALEN
l10n_base.no_0434,l10n_base.no_nor,0434,ENGERDAL
l10n_base.no_0436,l10n_base.no_nor,0436,TOLGA
l10n_base.no_0437,l10n_base.no_nor,0437,TYNSET
l10n_base.no_0438,l10n_base.no_nor,0438,ALVDAL
l10n_base.no_0439,l10n_base.no_nor,0439,FOLLDAL
l10n_base.no_0441,l10n_base.no_nor,0441,OS (HEDMARK)
l10n_base.no_0501,l10n_base.no_nor,0501,LILLEHAMMER
l10n_base.no_0502,l10n_base.no_nor,0502,GJØVIK
l10n_base.no_0511,l10n_base.no_nor,0511,DOVRE
l10n_base.no_0512,l10n_base.no_nor,0512,LESJA
l10n_base.no_0513,l10n_base.no_nor,0513,SKJÅK
l10n_base.no_0514,l10n_base.no_nor,0514,LOM
l10n_base.no_0515,l10n_base.no_nor,0515,VÅGÅ
l10n_base.no_0516,l10n_base.no_nor,0516,NORD-FRON
l10n_base.no_0517,l10n_base.no_nor,0517,SEL
l10n_base.no_0519,l10n_base.no_nor,0519,SØR-FRON
l10n_base.no_0520,l10n_base.no_nor,0520,RINGEBU
l10n_base.no_0521,l10n_base.no_nor,0521,ØYER
l10n_base.no_0522,l10n_base.no_nor,0522,GAUSDAL
l10n_base.no_0528,l10n_base.no_nor,0528,ØSTRE TOTEN
l10n_base.no_0529,l10n_base.no_nor,0529,VESTRE TOTEN
l10n_base.no_0532,l10n_base.no_nor,0532,JEVNAKER
l10n_base.no_0533,l10n_base.no_nor,0533,LUNNER
l10n_base.no_0534,l10n_base.no_nor,0534,GRAN
l10n_base.no_0536,l10n_base.no_nor,0536,SØNDRE LAND
l10n_base.no_0538,l10n_base.no_nor,0538,NORDRE LAND
l10n_base.no_0540,l10n_base.no_nor,0540,SØR-AURDAL
l10n_base.no_0541,l10n_base.no_nor,0541,ETNEDAL
l10n_base.no_0542,l10n_base.no_nor,0542,NORD-AURDAL
l10n_base.no_0543,l10n_base.no_nor,0543,VESTRE SLIDRE
l10n_base.no_0544,l10n_base.no_nor,0544,ØYSTRE SLIDRE
l10n_base.no_0545,l10n_base.no_nor,0545,VANG
l10n_base.no_0602,l10n_base.no_nor,0602,DRAMMEN
l10n_base.no_0604,l10n_base.no_nor,0604,KONGSBERG
l10n_base.no_0605,l10n_base.no_nor,0605,RINGERIKE
l10n_base.no_0612,l10n_base.no_nor,0612,HOLE
l10n_base.no_0615,l10n_base.no_nor,0615,FLÅ
l10n_base.no_0616,l10n_base.no_nor,0616,NES
l10n_base.no_0617,l10n_base.no_nor,0617,GOL
l10n_base.no_0618,l10n_base.no_nor,0618,HEMSEDAL
l10n_base.no_0619,l10n_base.no_nor,0619,ÅL
l10n_base.no_0620,l10n_base.no_nor,0620,HOL
l10n_base.no_0621,l10n_base.no_nor,0621,SIGDAL
l10n_base.no_0622,l10n_base.no_nor,0622,KRØDSHERAD
l10n_base.no_0623,l10n_base.no_nor,0623,MODUM
l10n_base.no_0624,l10n_base.no_nor,0624,ØVRE EIKER
l10n_base.no_0625,l10n_base.no_nor,0625,NEDRE EIKER
l10n_base.no_0626,l10n_base.no_nor,0626,LIER
l10n_base.no_0627,l10n_base.no_nor,0627,RØYKEN
l10n_base.no_0628,l10n_base.no_nor,0628,HURUM
l10n_base.no_0631,l10n_base.no_nor,0631,FLESBERG
l10n_base.no_0632,l10n_base.no_nor,0632,ROLLAG
l10n_base.no_0633,l10n_base.no_nor,0633,NORE OG UVDAL
l10n_base.no_0701,l10n_base.no_nor,0701,HORTEN
l10n_base.no_0702,l10n_base.no_nor,0702,HOLMESTRAND
l10n_base.no_0704,l10n_base.no_nor,0704,TØNSBERG
l10n_base.no_0706,l10n_base.no_nor,0706,SANDEFJORD
l10n_base.no_0709,l10n_base.no_nor,0709,LARVIK
l10n_base.no_0711,l10n_base.no_nor,0711,SVELVIK
l10n_base.no_0713,l10n_base.no_nor,0713,SANDE (V.)
l10n_base.no_0714,l10n_base.no_nor,0714,HOF
l10n_base.no_0716,l10n_base.no_nor,0716,RE
l10n_base.no_0719,l10n_base.no_nor,0719,ANDEBU
l10n_base.no_0720,l10n_base.no_nor,0720,STOKKE
l10n_base.no_0722,l10n_base.no_nor,0722,NØTTERØY
l10n_base.no_0723,l10n_base.no_nor,0723,TJØME
l10n_base.no_0728,l10n_base.no_nor,0728,LARDAL
l10n_base.no_0805,l10n_base.no_nor,0805,PORSGRUNN
l10n_base.no_0806,l10n_base.no_nor,0806,SKIEN
l10n_base.no_0807,l10n_base.no_nor,0807,NOTODDEN
l10n_base.no_0811,l10n_base.no_nor,0811,SILJAN
l10n_base.no_0814,l10n_base.no_nor,0814,BAMBLE
l10n_base.no_0815,l10n_base.no_nor,0815,KRAGERØ
l10n_base.no_0817,l10n_base.no_nor,0817,DRANGEDAL
l10n_base.no_0819,l10n_base.no_nor,0819,NOME
l10n_base.no_0821,l10n_base.no_nor,0821,BØ (TEL.)
l10n_base.no_0822,l10n_base.no_nor,0822,SAUHERAD
l10n_base.no_0826,l10n_base.no_nor,0826,TINN
l10n_base.no_0827,l10n_base.no_nor,0827,HJARTDAL
l10n_base.no_0828,l10n_base.no_nor,0828,SELJORD
l10n_base.no_0829,l10n_base.no_nor,0829,KVITESEID
l10n_base.no_0830,l10n_base.no_nor,0830,NISSEDAL
l10n_base.no_0831,l10n_base.no_nor,0831,FYRESDAL
l10n_base.no_0833,l10n_base.no_nor,0833,TOKKE
l10n_base.no_0834,l10n_base.no_nor,0834,VINJE
l10n_base.no_0901,l10n_base.no_nor,0901,RISØR
l10n_base.no_0904,l10n_base.no_nor,0904,GRIMSTAD
l10n_base.no_0906,l10n_base.no_nor,0906,ARENDAL
l10n_base.no_0911,l10n_base.no_nor,0911,GJERSTAD
l10n_base.no_0912,l10n_base.no_nor,0912,VEGÅRSHEI
l10n_base.no_0914,l10n_base.no_nor,0914,TVEDESTRAND
l10n_base.no_0919,l10n_base.no_nor,0919,FROLAND
l10n_base.no_0926,l10n_base.no_nor,0926,LILLESAND
l10n_base.no_0928,l10n_base.no_nor,0928,BIRKENES
l10n_base.no_0929,l10n_base.no_nor,0929,ÅMLI
l10n_base.no_0935,l10n_base.no_nor,0935,IVELAND
l10n_base.no_0937,l10n_base.no_nor,0937,EVJE OG HORNNES
l10n_base.no_0938,l10n_base.no_nor,0938,BYGLAND
l10n_base.no_0940,l10n_base.no_nor,0940,VALLE
l10n_base.no_0941,l10n_base.no_nor,0941,BYKLE
l10n_base.no_1001,l10n_base.no_nor,1001,KRISTIANSAND
l10n_base.no_1002,l10n_base.no_nor,1002,MANDAL
l10n_base.no_1003,l10n_base.no_nor,1003,FARSUND
l10n_base.no_1004,l10n_base.no_nor,1004,FLEKKEFJORD
l10n_base.no_1014,l10n_base.no_nor,1014,VENNESLA
l10n_base.no_1017,l10n_base.no_nor,1017,SONGDALEN
