id,chart_template_id/id,name,description,type,amount,type_tax_use,price_include,child_depend,account_collected_id/id,account_paid_id/id,base_code_id/id,tax_code_id/id,ref_base_code_id/id,ref_tax_code_id/id,base_sign,tax_sign,ref_base_sign,ref_tax_sign,include_base_amount,sequence,parent_id/id
gd_taxr_1,gd_chart,Izstopni DDV 0%,DDV-I-0,percent,0.000,Sale,True,False,,,gd_taxc_1111,,gd_taxc_1111,,1.0,0.0,-1.0,0.0,False,1,
gd_taxr_2,gd_chart,"Izstopni DDV 9,5%",DDV-I-9.5,percent,0.095,Sale,True,False,gd_acc_260001,gd_acc_260001,gd_taxc_1112,gd_taxc_2111,gd_taxc_1112,gd_taxc_2111,1.0,1.0,-1.0,-1.0,False,1,
gd_taxr_3,gd_chart,Izstopni DDV 22%,DDV-I-22,percent,0.220,Sale,True,False,gd_acc_260002,gd_acc_260002,gd_taxc_1113,gd_taxc_2112,gd_taxc_1113,gd_taxc_2112,1.0,1.0,-1.0,-1.0,False,1,
gd_taxp_1,gd_chart,Vstopni DDV 0%,DDV-V-0,percent,0.000,Purchase,True,False,,,gd_taxc_1121,,gd_taxc_1121,,1.0,0.0,-1.0,0.0,False,1,
gd_taxp_2,gd_chart,"Vstopni DDV 9,5%",DDV-V-9.5,percent,0.095,Purchase,True,False,gd_acc_160002,gd_acc_160002,gd_taxc_1122,gd_taxc_2121,gd_taxc_1122,gd_taxc_2121,1.0,1.0,-1.0,-1.0,False,1,
gd_taxp_3,gd_chart,Vstopni DDV 22%,DDV-V-22,percent,0.220,Purchase,True,False,gd_acc_160003,gd_acc_160003,gd_taxc_1123,gd_taxc_2122,gd_taxc_1123,gd_taxc_2122,1.0,1.0,-1.0,-1.0,False,1,
gd_taxp_nr_1,gd_chart,"Vstopni DDV 9,5% - neodbitni ",DDV-V-9.5-NE,percent,0.095,Purchase,True,False,gd_acc_160001,gd_acc_160001,gd_taxc_1211,gd_taxc_2211,gd_taxc_1211,gd_taxc_2211,1.0,1.0,-1.0,-1.0,False,1,
gd_taxp_nr_2,gd_chart,Vstopni DDV 22% - neodbitni,DDV-V-22-NE,percent,0.220,Purchase,True,False,gd_acc_160001,gd_acc_160001,gd_taxc_1212,gd_taxc_2212,gd_taxc_1212,gd_taxc_2212,1.0,1.0,-1.0,-1.0,False,1,
gd_taxp_st_1,gd_chart,"Vstopni DDV 9,5% - samoobdavčitev",DDV-V-9.5-SO,balance,0.000,Purchase,False,True,,,gd_taxc_1122,,gd_taxc_1122,,1.0,0.0,-1.0,0.0,False,1,
gd_taxp_st_1_1,gd_chart,"Vstopni DDV 9,5% - SO",SO-DDV-V-9.5,percent,0.095,Purchase,False,False,gd_acc_160002,gd_acc_160002,,gd_taxc_2121,,gd_taxc_2121,0.0,1.0,0.0,-1.0,False,1,gd_taxp_st_1
gd_taxp_st_1_2,gd_chart,"Izstopni DDV 9,5% - SO",SO-DDV-I-9.5,percent,-0.095,Purchase,False,False,gd_acc_260001,gd_acc_260001,,gd_taxc_2111,,gd_taxc_2111,0.0,1.0,0.0,-1.0,False,1,gd_taxp_st_1
gd_taxp_st_2,gd_chart,Vstopni DDV 22% - samoobdavčitev,DDV-V-22-SO,balance,0.000,Purchase,False,True,,,gd_taxc_1123,,gd_taxc_1123,,1.0,0.0,-1.0,0.0,False,1,
gd_taxp_st_2_1,gd_chart,Vstopni DDV 22% - SO,SO-DDV-V-22,percent,0.220,Purchase,False,False,gd_acc_160003,gd_acc_160003,,gd_taxc_2122,,gd_taxc_2122,0.0,1.0,0.0,-1.0,False,1,gd_taxp_st_2
gd_taxp_st_2_2,gd_chart,Izstopni DDV 22% - SO,SO-DDV-I-22,percent,-0.220,Purchase,False,False,gd_acc_260002,gd_acc_260002,,gd_taxc_2112,,gd_taxc_2112,0.0,1.0,0.0,-1.0,False,1,gd_taxp_st_2
